label	f1	precision	recall
	0.8866189989785496	0.900	0.8732394366197183
	0.654275092936803	0.638	0.6717557251908397
	0.7	0.778	0.6363636363636364
	0.752851711026616	0.811	0.7021276595744681
	0.5435897435897435	0.616	0.48623853211009177
	0.5757575757575758	0.543	0.6129032258064516
	0.5504587155963303	0.508	0.6
	0.6167400881057269	0.729	0.5343511450381679
	0.58	0.659	0.5178571428571429
	0.6666666666666666	0.596	0.7567567567567568
macro	0.6526958592658012	0.678	0.6391593260317274
micro	0.7347100873709294	0.761	0.7104454685099847
